Variables;result
;333093,001845455
x_plant1_pipe1_d1;0
y_plant1_pipe1_d1;1
x_plant1_pipe1_d3;0
y_plant1_pipe1_d3;0
x_plant1_pipe1_d4;0
y_plant1_pipe1_d4;0
x_plant1_pipe2_d1;0
y_plant1_pipe2_d1;1
x_plant1_pipe2_d3;0
y_plant1_pipe2_d3;0
x_plant1_pipe2_d4;0
y_plant1_pipe2_d4;0
x_plant1_pipe3_d1;281,64
y_plant1_pipe3_d1;1
x_plant1_pipe3_d3;0
y_plant1_pipe3_d3;0
x_plant1_pipe3_d4;0
y_plant1_pipe3_d4;0
x_plant1_pipe4_d1;0
y_plant1_pipe4_d1;1
x_plant1_pipe4_d3;0
y_plant1_pipe4_d3;0
x_plant1_pipe4_d4;0
y_plant1_pipe4_d4;0
x_plant1_pipe5_d1;0
y_plant1_pipe5_d1;1
x_plant1_pipe5_d3;0
y_plant1_pipe5_d3;0
x_plant1_pipe5_d4;0
y_plant1_pipe5_d4;0
x_plant1_pipe6_d1;0
y_plant1_pipe6_d1;1
x_plant1_pipe6_d3;0
y_plant1_pipe6_d3;0
x_plant1_pipe6_d4;0
y_plant1_pipe6_d4;0
x_plant1_pipe7_d1;0
y_plant1_pipe7_d1;1
x_plant1_pipe7_d3;0
y_plant1_pipe7_d3;0
x_plant1_pipe7_d4;0
y_plant1_pipe7_d4;0
x_plant1_pipe8_d1;0
y_plant1_pipe8_d1;1
x_plant1_pipe8_d3;0
y_plant1_pipe8_d3;0
x_plant1_pipe8_d4;0
y_plant1_pipe8_d4;0
x_plant1_pipe9_d1;0
y_plant1_pipe9_d1;1
x_plant1_pipe9_d3;0
y_plant1_pipe9_d3;0
x_plant1_pipe9_d4;0
y_plant1_pipe9_d4;0
x_plant1_pipe10_d1;0
y_plant1_pipe10_d1;1
x_plant1_pipe10_d3;0
y_plant1_pipe10_d3;0
x_plant1_pipe10_d4;0
y_plant1_pipe10_d4;0
x_plant1_pipe11_d1;0
y_plant1_pipe11_d1;1
x_plant1_pipe11_d3;0
y_plant1_pipe11_d3;0
x_plant1_pipe11_d4;0
y_plant1_pipe11_d4;0
x_plant1_pipe12_d1;0
y_plant1_pipe12_d1;1
x_plant1_pipe12_d3;0
y_plant1_pipe12_d3;0
x_plant1_pipe12_d4;0
y_plant1_pipe12_d4;0
x_plant1_pipe13_d1;0
y_plant1_pipe13_d1;1
x_plant1_pipe13_d3;0
y_plant1_pipe13_d3;0
x_plant1_pipe13_d4;0
y_plant1_pipe13_d4;0
x_plant1_pipe14_d1;0
y_plant1_pipe14_d1;1
x_plant1_pipe14_d3;0
y_plant1_pipe14_d3;0
x_plant1_pipe14_d4;0
y_plant1_pipe14_d4;0
x_plant1_pipe15_d1;0
y_plant1_pipe15_d1;1
x_plant1_pipe15_d3;0
y_plant1_pipe15_d3;0
x_plant1_pipe15_d4;0
y_plant1_pipe15_d4;0
x_plant1_pipe16_d1;286,062139037433
y_plant1_pipe16_d1;0,810374331550802
x_plant1_pipe16_d3;0
y_plant1_pipe16_d3;0
x_plant1_pipe16_d4;386,077860962567
y_plant1_pipe16_d4;0,189625668449198
x_plant1_pipe17_d1;0
y_plant1_pipe17_d1;1
x_plant1_pipe17_d3;0
y_plant1_pipe17_d3;0
x_plant1_pipe17_d4;0
y_plant1_pipe17_d4;0
x_plant1_pipe18_d1;0
y_plant1_pipe18_d1;1
x_plant1_pipe18_d3;0
y_plant1_pipe18_d3;0
x_plant1_pipe18_d4;0
y_plant1_pipe18_d4;0
x_plant1_pipe19_d1;0
y_plant1_pipe19_d1;1
x_plant1_pipe19_d3;0
y_plant1_pipe19_d3;0
x_plant1_pipe19_d4;0
y_plant1_pipe19_d4;0
x_plant1_pipe20_d1;0
y_plant1_pipe20_d1;1
x_plant1_pipe20_d3;0
y_plant1_pipe20_d3;0
x_plant1_pipe20_d4;0
y_plant1_pipe20_d4;0
x_plant1_pipe21_d1;0
y_plant1_pipe21_d1;1
x_plant1_pipe21_d3;0
y_plant1_pipe21_d3;0
x_plant1_pipe21_d4;0
y_plant1_pipe21_d4;0
x_plant1_pipe22_d1;0
y_plant1_pipe22_d1;1
x_plant1_pipe22_d3;0
y_plant1_pipe22_d3;0
x_plant1_pipe22_d4;0
y_plant1_pipe22_d4;0
x_plant1_pipe23_d1;0
y_plant1_pipe23_d1;1
x_plant1_pipe23_d3;0
y_plant1_pipe23_d3;0
x_plant1_pipe23_d4;0
y_plant1_pipe23_d4;0
x_plant1_pipe24_d1;0
y_plant1_pipe24_d1;1
x_plant1_pipe24_d3;0
y_plant1_pipe24_d3;0
x_plant1_pipe24_d4;0
y_plant1_pipe24_d4;0
x_plant1_pipe25_d1;0
y_plant1_pipe25_d1;1
x_plant1_pipe25_d3;0
y_plant1_pipe25_d3;0
x_plant1_pipe25_d4;0
y_plant1_pipe25_d4;0
x_plant1_pipe26_d1;0
y_plant1_pipe26_d1;1
x_plant1_pipe26_d3;0
y_plant1_pipe26_d3;0
x_plant1_pipe26_d4;0
y_plant1_pipe26_d4;0
x_plant1_pipe27_d1;0
y_plant1_pipe27_d1;1
x_plant1_pipe27_d3;0
y_plant1_pipe27_d3;0
x_plant1_pipe27_d4;0
y_plant1_pipe27_d4;0
x_plant2_pipe1_d1;0
y_plant2_pipe1_d1;1
x_plant2_pipe1_d3;0
y_plant2_pipe1_d3;0
x_plant2_pipe1_d4;0
y_plant2_pipe1_d4;0
x_plant2_pipe2_d1;0
y_plant2_pipe2_d1;1
x_plant2_pipe2_d3;0
y_plant2_pipe2_d3;0
x_plant2_pipe2_d4;0
y_plant2_pipe2_d4;0
x_plant2_pipe3_d1;0
y_plant2_pipe3_d1;1
x_plant2_pipe3_d3;0
y_plant2_pipe3_d3;0
x_plant2_pipe3_d4;0
y_plant2_pipe3_d4;0
x_plant2_pipe4_d1;0
y_plant2_pipe4_d1;1
x_plant2_pipe4_d3;0
y_plant2_pipe4_d3;0
x_plant2_pipe4_d4;0
y_plant2_pipe4_d4;0
x_plant2_pipe5_d1;0
y_plant2_pipe5_d1;1
x_plant2_pipe5_d3;0
y_plant2_pipe5_d3;0
x_plant2_pipe5_d4;0
y_plant2_pipe5_d4;0
x_plant2_pipe6_d1;0
y_plant2_pipe6_d1;1
x_plant2_pipe6_d3;0
y_plant2_pipe6_d3;0
x_plant2_pipe6_d4;0
y_plant2_pipe6_d4;0
x_plant2_pipe7_d1;0
y_plant2_pipe7_d1;1
x_plant2_pipe7_d3;0
y_plant2_pipe7_d3;0
x_plant2_pipe7_d4;0
y_plant2_pipe7_d4;0
x_plant2_pipe8_d1;0
y_plant2_pipe8_d1;1
x_plant2_pipe8_d3;0
y_plant2_pipe8_d3;0
x_plant2_pipe8_d4;0
y_plant2_pipe8_d4;0
x_plant2_pipe9_d1;272,145591206179
y_plant2_pipe9_d1;0,770950683303624
x_plant2_pipe9_d3;0
y_plant2_pipe9_d3;0
x_plant2_pipe9_d4;466,344408793821
y_plant2_pipe9_d4;0,229049316696376
x_plant2_pipe10_d1;0
y_plant2_pipe10_d1;1
x_plant2_pipe10_d3;0
y_plant2_pipe10_d3;0
x_plant2_pipe10_d4;0
y_plant2_pipe10_d4;0
x_plant2_pipe11_d1;0
y_plant2_pipe11_d1;1
x_plant2_pipe11_d3;0
y_plant2_pipe11_d3;0
x_plant2_pipe11_d4;0
y_plant2_pipe11_d4;0
x_plant2_pipe12_d1;0
y_plant2_pipe12_d1;1
x_plant2_pipe12_d3;0
y_plant2_pipe12_d3;0
x_plant2_pipe12_d4;0
y_plant2_pipe12_d4;0
x_plant2_pipe13_d1;0
y_plant2_pipe13_d1;1
x_plant2_pipe13_d3;0
y_plant2_pipe13_d3;0
x_plant2_pipe13_d4;0
y_plant2_pipe13_d4;0
x_plant2_pipe14_d1;0
y_plant2_pipe14_d1;1
x_plant2_pipe14_d3;0
y_plant2_pipe14_d3;0
x_plant2_pipe14_d4;0
y_plant2_pipe14_d4;0
x_plant2_pipe15_d1;0
y_plant2_pipe15_d1;1
x_plant2_pipe15_d3;0
y_plant2_pipe15_d3;0
x_plant2_pipe15_d4;0
y_plant2_pipe15_d4;0
x_plant2_pipe16_d1;0
y_plant2_pipe16_d1;1
x_plant2_pipe16_d3;0
y_plant2_pipe16_d3;0
